 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 200
Diff. cross section [pb]
9.050000E-01 1.322786E-01
9.150000E-01 1.336499E-01
9.250000E-01 1.350313E-01
9.350000E-01 1.364228E-01
9.450000E-01 1.378244E-01
9.550000E-01 1.392361E-01
9.650000E-01 1.406579E-01
9.750000E-01 1.420898E-01
9.850000E-01 1.435318E-01
9.950000E-01 1.449838E-01
