 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 200
Diff. cross section [pb]
-9.950000E-01 9.500858E+01
-9.850000E-01 9.406576E+01
-9.750000E-01 9.313758E+01
-9.650000E-01 9.222401E+01
-9.550000E-01 9.132507E+01
-9.450000E-01 9.044076E+01
-9.350000E-01 8.957106E+01
-9.250000E-01 8.871600E+01
-9.150000E-01 8.787556E+01
-9.050000E-01 8.704974E+01
-8.950000E-01 8.623854E+01
-8.850000E-01 8.544197E+01
-8.750000E-01 8.466003E+01
-8.650000E-01 8.389271E+01
-8.550000E-01 8.314001E+01
-8.450000E-01 8.240194E+01
-8.350000E-01 8.167849E+01
-8.250000E-01 8.096967E+01
-8.150000E-01 8.027547E+01
-8.050000E-01 7.959590E+01
-7.950000E-01 7.893095E+01
-7.850000E-01 7.828062E+01
-7.750000E-01 7.764492E+01
-7.650000E-01 7.702384E+01
-7.550000E-01 7.641739E+01
-7.450000E-01 7.582556E+01
-7.350000E-01 7.524836E+01
-7.250000E-01 7.468578E+01
-7.150000E-01 7.413782E+01
-7.050000E-01 7.360449E+01
-6.950000E-01 7.308579E+01
-6.850000E-01 7.258171E+01
-6.750000E-01 7.209225E+01
-6.650000E-01 7.161742E+01
-6.550000E-01 7.115721E+01
-6.450000E-01 7.071162E+01
-6.350000E-01 7.028066E+01
-6.250000E-01 6.986433E+01
-6.150000E-01 6.946262E+01
-6.050000E-01 6.907553E+01
-5.950000E-01 6.870307E+01
-5.850000E-01 6.834523E+01
-5.750000E-01 6.800202E+01
-5.650000E-01 6.767343E+01
-5.550000E-01 6.735946E+01
-5.450000E-01 6.706012E+01
-5.350000E-01 6.677541E+01
-5.250000E-01 6.650531E+01
-5.150000E-01 6.624985E+01
-5.050000E-01 6.600900E+01
-4.950000E-01 6.578279E+01
-4.850000E-01 6.557119E+01
-4.750000E-01 6.537422E+01
-4.650000E-01 6.519188E+01
-4.550000E-01 6.502415E+01
-4.450000E-01 6.487106E+01
-4.350000E-01 6.473259E+01
-4.250000E-01 6.460874E+01
-4.150000E-01 6.449951E+01
-4.050000E-01 6.440492E+01
-3.950000E-01 6.432494E+01
-3.850000E-01 6.425959E+01
-3.750000E-01 6.420886E+01
-3.650000E-01 6.417276E+01
-3.550000E-01 6.415129E+01
-3.450000E-01 6.414443E+01
-3.350000E-01 6.415220E+01
-3.250000E-01 6.417460E+01
-3.150000E-01 6.421162E+01
