 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 200
Diff. cross section [pb]
9.050000E-01 7.633870E-02
9.150000E-01 7.714100E-02
9.250000E-01 7.794790E-02
9.350000E-01 7.875940E-02
9.450000E-01 7.957551E-02
9.550000E-01 8.039622E-02
9.650000E-01 8.122154E-02
9.750000E-01 8.205145E-02
9.850000E-01 8.288598E-02
9.950000E-01 8.372510E-02
